Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,110.320000,115.379997,104.839996,114.260002,110.032547,157874200
2019-09-01,113.680000,119.860001,113.489998,118.680000,114.851578,105362500
2019-10-01,118.849998,120.709999,114.580002,117.260002,113.477386,96407600
2019-11-01,117.919998,125.379997,117.080002,119.089996,115.248360,116620600
2019-12-01,119.150002,122.120003,117.419998,118.839996,115.006416,98422700
2020-01-01,118.860001,119.889999,112.680000,114.489998,111.293701,127907500
2020-02-01,114.900002,119.949997,104.370003,107.680000,104.673843,132414100
2020-03-01,107.599998,128.080002,102.000000,113.620003,110.448013,318954800
2020-04-01,112.150002,133.380005,111.800003,121.550003,118.679436,207159800
2020-05-01,121.480003,131.990005,120.779999,124.059998,121.130165,186789700
2020-06-01,123.440002,124.410004,117.010002,119.779999,117.465691,185852200
2020-07-01,119.449997,134.130005,118.220001,129.399994,126.899818,197452100
2020-08-01,129.910004,141.070007,128.270004,138.850006,136.167221,230008400
2020-09-01,141.199997,151.330002,134.750000,139.910004,137.770813,268657200
2020-10-01,140.800003,146.600006,137.369995,138.750000,136.628555,128995000
2020-11-01,140.589996,153.399994,139.029999,152.789993,150.453873,137933500
2020-12-01,153.600006,153.660004,142.300003,144.149994,141.945969,170368500
2021-01-01,144.300003,149.929993,140.350006,140.490005,138.847656,150162900
2021-02-01,140.910004,147.500000,129.860001,129.919998,128.401199,184999800
2021-03-01,131.580002,137.589996,126.279999,135.830002,134.242111,246548100
2021-04-01,135.940002,141.770004,135.330002,139.910004,138.851746,153121900
2021-05-01,139.679993,144.580002,135.759995,142.029999,140.955704,174777800
2021-06-01,142.210007,142.800003,134.399994,141.020004,140.502975,169107000
2021-07-01,140.410004,143.860001,138.220001,142.550003,142.027359,131880700
